                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3855,                  2.181,                 1.9097,                0.55584,                0.83613,                0.80815,                0.33977,                 1.8711,                  2.266,                 2.5753,             0.00047536,             0.00047536,             0.00047536
                      2,                 1.2961,                  1.295,                 1.8041,                0.70669,                0.80252,                0.73355,                0.30939,                 2.6166,                 1.4116,                 3.6511,               0.000914,               0.000914,               0.000914
                      3,                 1.2783,                 1.1465,                 1.7759,                 0.8153,                0.87395,                0.92949,                0.44868,                 1.8655,                 1.0125,                 2.5362,              0.0013149,              0.0013149,              0.0013149
                      4,                 1.2254,                 1.0516,                 1.7203,                0.91512,                0.87963,                0.94553,                0.58585,                 1.4951,                0.80711,                 2.1415,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.1641,                0.97923,                 1.6676,                0.84117,                0.91031,                0.97031,                0.56993,                  1.587,                0.88745,                 2.2039,              0.0012592,              0.0012592,              0.0012592
                      6,                 1.1274,                0.93392,                 1.6314,                0.90134,                0.83193,                0.93997,                0.51825,                 1.6414,                 0.9168,                 2.2408,              0.0012026,              0.0012026,              0.0012026
                      7,                    1.1,                0.88774,                 1.6037,                 0.9101,                0.98319,                0.98258,                0.64196,                 1.2178,                  0.687,                 1.7963,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.0643,                0.86549,                 1.5793,                0.93426,                 0.9916,                0.97836,                0.64072,                  1.265,                0.63286,                 1.8801,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.0374,                0.82877,                 1.5621,                0.94598,                0.98199,                0.99016,                 0.6615,                 1.3079,                0.70517,                  1.952,              0.0010329,              0.0010329,              0.0010329
                     10,                  1.011,                 0.7956,                 1.5351,                 0.9484,                0.98319,                 0.9869,                0.70821,                 1.0613,                0.56858,                 1.6587,             0.00097629,             0.00097629,             0.00097629
                     11,                0.99133,                0.77764,                 1.5159,                0.92964,                0.98397,                0.98673,                0.68085,                 1.1994,                0.62071,                 1.8338,              0.0009197,              0.0009197,              0.0009197
                     12,                0.96701,                0.76323,                 1.4915,                0.95257,                0.98592,                0.99036,                0.68486,                 1.1332,                0.58501,                 1.6987,             0.00086312,             0.00086312,             0.00086312
                     13,                0.95143,                0.74455,                  1.482,                0.96009,                0.97899,                0.98995,                0.74131,                0.92462,                0.56021,                 1.4837,             0.00080653,             0.00080653,             0.00080653
                     14,                0.94533,                0.73161,                 1.4694,                0.97244,                0.98868,                0.99313,                0.71907,                0.98836,                0.49314,                 1.5465,             0.00074994,             0.00074994,             0.00074994
                     15,                0.93122,                0.72704,                 1.4611,                0.95929,                0.98065,                0.99306,                0.72687,                 1.0145,                0.48485,                 1.5947,             0.00069335,             0.00069335,             0.00069335
                     16,                0.84502,                0.53271,                 1.6243,                0.93984,                0.97899,                0.98723,                0.75325,                0.88039,                0.47662,                 1.4321,             0.00063676,             0.00063676,             0.00063676
                     17,                0.80994,                 0.5062,                 1.5872,                0.96603,                0.97479,                0.99011,                 0.7461,                0.90595,                0.50024,                 1.4526,             0.00058017,             0.00058017,             0.00058017
                     18,                0.79296,                0.48888,                 1.5621,                0.97167,                0.97268,                0.99403,                0.73339,                 1.0381,                0.47602,                  1.556,             0.00052359,             0.00052359,             0.00052359
                     19,                0.76828,                 0.4753,                 1.5357,                0.98465,                0.98319,                0.99408,                0.76328,                0.88827,                0.44143,                 1.4531,               0.000467,               0.000467,               0.000467
                     20,                0.74082,                0.46838,                 1.5033,                0.93902,                 0.9842,                0.99097,                0.77327,                0.87949,                0.46472,                 1.4396,             0.00041041,             0.00041041,             0.00041041
                     21,                0.73204,                0.45743,                 1.4961,                0.97184,                0.98319,                0.99413,                 0.7642,                0.88333,                0.43069,                 1.4491,             0.00035382,             0.00035382,             0.00035382
                     22,                 0.7029,                0.44829,                 1.4603,                0.96666,                0.98354,                 0.9935,                 0.7788,                 0.8414,                0.40598,                 1.4018,             0.00029723,             0.00029723,             0.00029723
                     23,                0.68507,                0.43706,                 1.4461,                0.98636,                0.98319,                0.99386,                0.76391,                0.88994,                0.41604,                 1.4538,             0.00024064,             0.00024064,             0.00024064
                     24,                0.66328,                0.42943,                 1.4142,                0.96448,                0.98227,                0.99369,                0.79273,                0.82079,                0.39617,                 1.3843,             0.00018406,             0.00018406,             0.00018406
                     25,                0.64426,                0.41962,                  1.394,                0.98402,                0.97877,                0.99299,                0.77787,                0.85842,                0.40624,                 1.4382,             0.00012747,             0.00012747,             0.00012747
